"card_present_flag","account","txn_description","first_name","balance","date","gender","age","merchant_suburb","merchant_state","amount","customer_id","Tstamp"
"1","ACC-1598451071","POS","Diana",35.39,2018-08-01,"F",26,"Ashmore","QLD",16.25,"CUS-2487424745",2018-08-01 01:01:15
"0","ACC-1598451071","SALES-POS","Diana",21.2,2018-08-01,"F",26,"Sydney","NSW",14.19,"CUS-2487424745",2018-08-01 01:13:45
"1","ACC-1222300524","POS","Michael",5.71,2018-08-01,"M",38,"Sydney","NSW",6.42,"CUS-2142601169",2018-08-01 01:26:15
"1","ACC-1037050564","SALES-POS","Rhonda",2117.22,2018-08-01,"F",40,"Buderim","QLD",40.9,"CUS-1614226872",2018-08-01 01:38:45
"1","ACC-1598451071","SALES-POS","Diana",17.95,2018-08-01,"F",26,"Mermaid Beach","QLD",3.25,"CUS-2487424745",2018-08-01 01:51:15
"1","ACC-2776252858","SALES-POS","Kristin",1248.36,2018-08-01,"F",43,"Kalkallo","VIC",61.06,"CUS-4123612273",2018-08-01 02:23:04
"1","ACC-2776252858","POS","Kristin",1232.75,2018-08-01,"F",43,"Melbourne","VIC",15.61,"CUS-4123612273",2018-08-01 04:11:25
"1","ACC-182446574","POS","Tonya",213.16,2018-08-01,"F",27,"Yokine","WA",19.25,"CUS-3026014945",2018-08-01 04:40:00
"1","ACC-182446574","SALES-POS","Tonya",207.08,2018-08-01,"F",27,"Cockburn Central","WA",6.08,"CUS-3026014945",2018-08-01 06:06:40
"1","ACC-1903037542","POS","Jeffrey",2.85,2018-08-01,"M",30,"Mount Ommaney","QLD",10.79,"CUS-860700529",2018-08-01 07:20:48
"1","ACC-4258502723","POS","Kimberly",708.28,2018-08-01,"F",24,"Brunswick","VIC",7.37,"CUS-3378712515",2018-08-01 08:00:11
"1","ACC-1598451071","POS","Diana",3.85,2018-08-01,"F",26,"Byron Bay","NSW",14.1,"CUS-2487424745",2018-08-01 08:09:42
"0","ACC-2890243754","POS","Joseph",275.93,2018-08-01,"M",37,"Lismore","NSW",24.77,"CUS-2695611575",2018-08-01 08:19:14
"1","ACC-3481401842","SALES-POS","Tiffany",259.37,2018-08-01,"F",25,"Fremantle","WA",13.67,"CUS-1669695324",2018-08-01 08:28:45
"0","ACC-2615038700","POS","Emily",30583.15,2018-08-01,"F",43,"Mordialloc","VIC",12.08,"CUS-3255104878",2018-08-01 08:47:48
"1","ACC-966140392","POS","Joseph",793.64,2018-08-01,"M",21,"Chatswood","NSW",72.12,"CUS-537508723",2018-08-01 08:57:20
"1","ACC-1710017148","SALES-POS","Michelle",1636.91,2018-08-01,"F",19,"Granville","NSW",17.96,"CUS-883482547",2018-08-01 09:02:54
"1","ACC-2673069055","SALES-POS","Richard",11525.54,2018-08-01,"M",24,"Pacific Paradise","QLD",14.49,"CUS-51506836",2018-08-01 09:06:57
"0","ACC-1710017148","SALES-POS","Michelle",1625.34,2018-08-01,"F",19,"Alexandria","NSW",11.57,"CUS-883482547",2018-08-01 09:11:00
"1","ACC-1037050564","POS","Rhonda",2072.1,2018-08-01,"F",40,"North Lakes","QLD",45.12,"CUS-1614226872",2018-08-01 09:15:03
"0","ACC-3485804958","POS","Jessica",12529.59,2018-08-01,"F",34,"Findon","SA",33.89,"CUS-1196156254",2018-08-01 09:19:06
